time_step,state,pattern,status,mapped_to,distance,probability,confidence,confidence_label,decision
1,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
2,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
3,aaab,aaba,known,aaba,0,0.6062,0.6062,high,normal
4,aaba,abaa,known,abaa,0,0.8257,0.8257,high,normal
5,abaa,baaa,known,baaa,0,0.7428,0.7428,high,normal
6,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
7,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
8,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
9,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
10,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
11,aabb,abba,known,abba,0,0.541,0.541,high,normal
12,abba,bbaa,known,bbaa,0,0.6313,0.6313,high,normal
13,bbaa,baaa,known,baaa,0,0.7277,0.7277,high,normal
14,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
15,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
16,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
17,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
18,aabb,abba,known,abba,0,0.541,0.541,high,normal
19,abba,bbaa,known,bbaa,0,0.6313,0.6313,high,normal
20,bbaa,baaa,known,baaa,0,0.7277,0.7277,high,normal
21,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
22,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
23,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
24,aaab,aaba,known,aaba,0,0.6062,0.6062,high,normal
25,aaba,abaa,known,abaa,0,0.8257,0.8257,high,normal
26,abaa,baaa,known,baaa,0,0.7428,0.7428,high,normal
27,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
28,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
29,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
30,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
31,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
32,bbba,bbaa,known,bbaa,0,0.5238,0.5238,high,normal
33,bbaa,baaa,known,baaa,0,0.7277,0.7277,high,normal
34,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
35,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
36,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
37,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
38,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
39,bbba,bbab,known,bbab,0,0.4762,0.4762,high,normal
40,bbab,baba,known,baba,0,0.4049,0.4049,high,normal
41,baba,abaa,known,abaa,0,0.6098,0.6098,high,normal
42,abaa,baab,known,baab,0,0.2572,0.2572,high,normal
43,baab,aabb,known,aabb,0,0.52,0.52,high,normal
44,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
45,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
46,bbba,bbaa,known,bbaa,0,0.5238,0.5238,high,normal
47,bbaa,baab,known,baab,0,0.2723,0.2723,high,normal
48,baab,aabb,known,aabb,0,0.52,0.52,high,normal
49,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
50,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
1,aaab,aabb,known,aabb,0,0.2383,0.2383,high,normal
2,aabb,abbb,known,abbb,0,0.3875,0.3875,high,normal
3,abbb,bbba,known,bbba,0,0.3265,0.3265,high,normal
4,bbba,bbab,known,bbab,0,0.5859,0.5859,high,normal
5,bbab,babb,known,babb,0,0.6322,0.6322,high,normal
6,babb,abbb,known,abbb,0,0.6907,0.6907,high,normal
7,abbb,bbbb,known,bbbb,0,0.6735,0.6735,high,normal
8,bbbb,bbba,known,bbba,0,0.0551,0.0551,high,normal
9,bbba,bbab,known,bbab,0,0.5859,0.5859,high,normal
10,bbab,babb,known,babb,0,0.6322,0.6322,high,normal
11,babb,abbb,known,abbb,0,0.6907,0.6907,high,normal
12,abbb,bbbb,known,bbbb,0,0.6735,0.6735,high,normal
13,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
14,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
15,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
16,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
17,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
18,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
19,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
20,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
21,bbbb,bbba,known,bbba,0,0.0551,0.0551,high,normal
22,bbba,bbab,known,bbab,0,0.5859,0.5859,high,normal
23,bbab,babb,known,babb,0,0.6322,0.6322,high,normal
24,babb,abbb,known,abbb,0,0.6907,0.6907,high,normal
25,abbb,bbbb,known,bbbb,0,0.6735,0.6735,high,normal
26,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
27,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
28,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
29,bbbb,bbba,known,bbba,0,0.0551,0.0551,high,normal
30,bbba,bbab,known,bbab,0,0.5859,0.5859,high,normal
31,bbab,babb,known,babb,0,0.6322,0.6322,high,normal
32,babb,abbb,known,abbb,0,0.6907,0.6907,high,normal
33,abbb,bbbb,known,bbbb,0,0.6735,0.6735,high,normal
34,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
35,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
36,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
37,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
38,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
39,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
40,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
41,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
42,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
43,bbbb,bbba,known,bbba,0,0.0551,0.0551,high,normal
44,bbba,bbaa,known,bbaa,0,0.4141,0.4141,high,normal
45,bbaa,baab,known,baab,0,0.4891,0.4891,high,normal
46,baab,aabb,known,aabb,0,0.3542,0.3542,high,normal
47,aabb,abbb,known,abbb,0,0.3875,0.3875,high,normal
48,abbb,bbbb,known,bbbb,0,0.6735,0.6735,high,normal
49,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
50,bbbb,bbbb,known,bbbb,0,0.8866,0.8866,high,normal
1,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
2,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
3,aaab,aaba,known,aaba,0,0.6062,0.6062,high,normal
4,aaba,abaa,known,abaa,0,0.8257,0.8257,high,normal
5,abaa,baaa,known,baaa,0,0.7428,0.7428,high,normal
6,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
7,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
8,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
9,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
10,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
11,aabb,abba,known,abba,0,0.541,0.541,high,normal
12,abba,bbaa,known,bbaa,0,0.6313,0.6313,high,normal
13,bbaa,baaa,known,baaa,0,0.7277,0.7277,high,normal
14,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
15,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
16,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
17,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
18,aabb,abba,known,abba,0,0.541,0.541,high,normal
19,abba,bbaa,known,bbaa,0,0.6313,0.6313,high,normal
20,bbaa,baaa,known,baaa,0,0.7277,0.7277,high,normal
21,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
22,aaaa,aaaa,known,aaaa,0,0.9314,0.9314,high,normal
23,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
24,aaab,aaba,known,aaba,0,0.6062,0.6062,high,normal
25,aaba,abaa,known,abaa,0,0.8257,0.8257,high,normal
26,abaa,baaa,known,baaa,0,0.7428,0.7428,high,normal
27,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
28,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
29,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
30,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
31,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
32,bbba,bbaa,known,bbaa,0,0.5238,0.5238,high,normal
33,bbaa,baaa,known,baaa,0,0.7277,0.7277,high,normal
34,baaa,aaaa,known,aaaa,0,0.6993,0.6993,high,normal
35,aaaa,aaab,known,aaab,0,0.0686,0.0686,high,normal
36,aaab,aabb,known,aabb,0,0.3938,0.3938,high,normal
37,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
38,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
39,bbba,bbab,known,bbab,0,0.4762,0.4762,high,normal
40,bbab,baba,known,baba,0,0.4049,0.4049,high,normal
41,baba,abaa,known,abaa,0,0.6098,0.6098,high,normal
42,abaa,baab,known,baab,0,0.2572,0.2572,high,normal
43,baab,aabb,known,aabb,0,0.52,0.52,high,normal
44,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
45,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
46,bbba,bbaa,known,bbaa,0,0.5238,0.5238,high,normal
47,bbaa,baab,known,baab,0,0.2723,0.2723,high,normal
48,baab,aabb,known,aabb,0,0.52,0.52,high,normal
49,aabb,abbb,known,abbb,0,0.459,0.459,high,normal
50,abbb,bbba,known,bbba,0,0.4062,0.4062,high,normal
1,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
2,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
3,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
4,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
5,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
6,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
7,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
8,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
9,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
10,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
11,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
12,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
13,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
14,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
15,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
16,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
17,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
18,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
19,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
20,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
21,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
22,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
23,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
24,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
25,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
26,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
27,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
28,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
29,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
30,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
31,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
32,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
33,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
34,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
35,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
36,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
37,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
38,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
39,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
40,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
41,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
42,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
43,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
44,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
45,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
46,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
47,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
48,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
49,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
50,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
1,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
2,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
3,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
4,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
5,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
6,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
7,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
8,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
9,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
10,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
11,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
12,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
13,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
14,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
15,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
16,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
17,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
18,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
19,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
20,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
21,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
22,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
23,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
24,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
25,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
26,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
27,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
28,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
29,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
30,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
31,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
32,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
33,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
34,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
35,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
36,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
37,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
38,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
39,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
40,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
41,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
42,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
43,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
44,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
45,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
46,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
47,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
48,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
49,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
50,cccc,cccc,known,cccc,0,0.9872,0.9872,high,normal
1,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
2,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
3,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
4,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
5,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
