Dataset,Seed,Scenario,Model,Training_Time_sec,Inference_Time_sec,Fold
SKAB,42,original,LSTM,120.4168,1.2205,1.0
SKAB,42,original,GRU,76.7313,0.3091,1.0
SKAB,42,original,CNN1D,23.0079,0.1955,1.0
SKAB,42,original,Automata,0.0153,0.1993,1.0
SKAB,42,noisy,LSTM,43.421,0.3189,1.0
SKAB,42,noisy,GRU,113.5543,0.3029,1.0
SKAB,42,noisy,CNN1D,25.1851,0.1873,1.0
SKAB,42,noisy,Automata,0.0152,0.0171,1.0
SKAB,42,unseen,Automata,0.0164,0.2544,1.0
SKAB,42,original,LSTM,101.7907,0.3841,2.0
SKAB,42,original,GRU,101.3913,0.3126,2.0
SKAB,42,original,CNN1D,11.7593,0.1765,2.0
SKAB,42,original,Automata,0.0165,0.019,2.0
SKAB,42,noisy,LSTM,61.2524,0.3853,2.0
SKAB,42,noisy,GRU,85.3977,0.3087,2.0
SKAB,42,noisy,CNN1D,29.1699,0.1954,2.0
SKAB,42,noisy,Automata,0.016,0.0158,2.0
SKAB,42,unseen,Automata,0.0156,0.0173,2.0
SKAB,42,original,LSTM,42.7536,0.303,3.0
SKAB,42,original,GRU,69.8895,0.2998,3.0
SKAB,42,original,CNN1D,21.7656,0.1942,3.0
SKAB,42,original,Automata,0.0157,0.0293,3.0
SKAB,42,noisy,LSTM,46.0216,0.3066,3.0
SKAB,42,noisy,GRU,53.7619,0.3031,3.0
SKAB,42,noisy,CNN1D,17.5039,0.1771,3.0
SKAB,42,noisy,Automata,0.015,0.0275,3.0
SKAB,42,unseen,Automata,0.0156,0.0286,3.0
SKAB,42,original,LSTM,64.9523,0.3203,4.0
SKAB,42,original,GRU,111.0861,0.3186,4.0
SKAB,42,original,CNN1D,34.5984,0.1731,4.0
SKAB,42,original,Automata,0.0155,0.0158,4.0
SKAB,42,noisy,LSTM,35.1494,0.3385,4.0
SKAB,42,noisy,GRU,150.1736,0.3019,4.0
SKAB,42,noisy,CNN1D,33.3234,0.1993,4.0
SKAB,42,noisy,Automata,0.0289,0.0196,4.0
SKAB,42,unseen,Automata,0.0154,0.0167,4.0
SKAB,42,original,LSTM,85.4857,0.4093,5.0
SKAB,42,original,GRU,76.4395,0.2993,5.0
SKAB,42,original,CNN1D,24.5017,0.1888,5.0
SKAB,42,original,Automata,0.0166,0.0256,5.0
SKAB,42,noisy,LSTM,35.2688,0.3281,5.0
SKAB,42,noisy,GRU,101.7614,0.3073,5.0
SKAB,42,noisy,CNN1D,17.7271,0.1973,5.0
SKAB,42,noisy,Automata,0.0161,0.1342,5.0
SKAB,42,unseen,Automata,0.0164,0.0232,5.0
SKAB,123,original,LSTM,53.2146,0.3582,1.0
SKAB,123,original,GRU,56.5094,0.2979,1.0
SKAB,123,original,CNN1D,48.38,0.2291,1.0
SKAB,123,original,Automata,0.0156,0.0169,1.0
SKAB,123,noisy,LSTM,46.2752,0.3152,1.0
SKAB,123,noisy,GRU,60.3689,0.3221,1.0
SKAB,123,noisy,CNN1D,28.0822,0.1745,1.0
SKAB,123,noisy,Automata,0.0165,0.015,1.0
SKAB,123,unseen,Automata,0.015,0.0181,1.0
SKAB,123,original,LSTM,80.1994,0.4492,2.0
SKAB,123,original,GRU,75.6414,0.3185,2.0
SKAB,123,original,CNN1D,29.5292,0.1963,2.0
SKAB,123,original,Automata,0.0154,0.0179,2.0
SKAB,123,noisy,LSTM,82.0468,0.4389,2.0
SKAB,123,noisy,GRU,93.0369,0.3155,2.0
SKAB,123,noisy,CNN1D,29.4756,0.1855,2.0
SKAB,123,noisy,Automata,0.0149,0.0156,2.0
SKAB,123,unseen,Automata,0.0156,0.0196,2.0
SKAB,123,original,LSTM,57.8838,0.4313,3.0
SKAB,123,original,GRU,64.4399,0.3181,3.0
SKAB,123,original,CNN1D,15.1688,0.185,3.0
SKAB,123,original,Automata,0.0168,0.0293,3.0
SKAB,123,noisy,LSTM,28.5146,0.3396,3.0
SKAB,123,noisy,GRU,64.5874,0.5433,3.0
SKAB,123,noisy,CNN1D,27.9628,0.1992,3.0
SKAB,123,noisy,Automata,0.0159,0.0165,3.0
SKAB,123,unseen,Automata,0.0156,0.0316,3.0
SKAB,123,original,LSTM,58.7516,0.3243,4.0
SKAB,123,original,GRU,35.5655,0.3122,4.0
SKAB,123,original,CNN1D,15.7859,0.198,4.0
SKAB,123,original,Automata,0.0157,0.0194,4.0
SKAB,123,noisy,LSTM,44.7528,0.337,4.0
SKAB,123,noisy,GRU,42.16,0.4121,4.0
SKAB,123,noisy,CNN1D,40.4039,0.1952,4.0
SKAB,123,noisy,Automata,0.0172,0.0175,4.0
SKAB,123,unseen,Automata,0.0159,1.2057,4.0
SKAB,123,original,LSTM,114.4831,0.3537,5.0
SKAB,123,original,GRU,163.7458,0.3444,5.0
SKAB,123,original,CNN1D,17.9246,0.2141,5.0
SKAB,123,original,Automata,0.0179,0.0244,5.0
SKAB,123,noisy,LSTM,46.6906,0.3395,5.0
SKAB,123,noisy,GRU,134.2727,0.3901,5.0
SKAB,123,noisy,CNN1D,31.1915,0.1852,5.0
SKAB,123,noisy,Automata,0.0168,0.12,5.0
SKAB,123,unseen,Automata,0.0173,0.0267,5.0
SKAB,2026,original,LSTM,60.8253,0.3607,1.0
SKAB,2026,original,GRU,38.4787,0.2993,1.0
SKAB,2026,original,CNN1D,21.2022,0.1945,1.0
SKAB,2026,original,Automata,0.0155,1.3742,1.0
SKAB,2026,noisy,LSTM,62.9818,0.4436,1.0
SKAB,2026,noisy,GRU,63.8115,0.3938,1.0
