Dataset,Seed,Scenario,Model,F1_Score,Detection_Rate,Mapping_Accuracy,Unseen_Count,Total_Patterns,Fold
SKAB,42,original,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,42,noisy,Automata,0.008997429305912597,0.0009,0.6875,4,4487,1.0
SKAB,42,unseen,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,42,original,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,42,noisy,Automata,0.024737167594310452,0.0,1.0,0,4503,2.0
SKAB,42,unseen,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,42,original,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,42,noisy,Automata,0.028169014084507043,0.008,0.75,36,4504,3.0
SKAB,42,unseen,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,42,original,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,42,noisy,Automata,0.03481392557022809,0.0005,0.75,2,4424,4.0
SKAB,42,unseen,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,42,original,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,42,noisy,Automata,0.13181367690782952,0.1128,0.75,512,4539,5.0
SKAB,42,unseen,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,123,original,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,123,noisy,Automata,0.010262989095574085,0.0004,0.75,2,4487,1.0
SKAB,123,unseen,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,123,original,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,123,noisy,Automata,0.023514851485148515,0.0004,0.75,2,4503,2.0
SKAB,123,unseen,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,123,original,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,123,noisy,Automata,0.0282021151586369,0.0,1.0,0,4504,3.0
SKAB,123,unseen,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,123,original,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,123,noisy,Automata,0.028898254063816978,0.0005,0.75,2,4424,4.0
SKAB,123,unseen,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,123,original,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,123,noisy,Automata,0.15463917525773196,0.1003,0.75,455,4539,5.0
SKAB,123,unseen,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,2026,original,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,2026,noisy,Automata,0.017434620174346202,0.0009,0.75,4,4487,1.0
SKAB,2026,unseen,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,2026,original,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,2026,noisy,Automata,0.01982651796778191,0.0004,0.75,2,4503,2.0
SKAB,2026,unseen,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,2026,original,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,2026,noisy,Automata,0.023501762632197415,0.0,1.0,0,4504,3.0
SKAB,2026,unseen,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,2026,original,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,2026,noisy,Automata,0.023114355231143552,0.0005,0.75,2,4424,4.0
SKAB,2026,unseen,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,2026,original,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,2026,noisy,Automata,0.15606130980027869,0.1245,0.75,565,4539,5.0
SKAB,2026,unseen,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,7,original,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,7,noisy,Automata,0.005134788189987163,0.0009,0.75,4,4487,1.0
SKAB,7,unseen,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,7,original,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,7,noisy,Automata,0.02350030921459493,0.0004,0.75,2,4503,2.0
SKAB,7,unseen,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,7,original,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,7,noisy,Automata,0.028785261945883708,0.0,1.0,0,4504,3.0
SKAB,7,unseen,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,7,original,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,7,noisy,Automata,0.02650602409638554,0.0,1.0,0,4424,4.0
SKAB,7,unseen,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,7,original,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,7,noisy,Automata,0.1218274111675127,0.0932,0.75,423,4539,5.0
SKAB,7,unseen,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,999,original,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,999,noisy,Automata,0.0140485312899106,0.0004,0.75,2,4487,1.0
SKAB,999,unseen,Automata,0.014039566049776643,0.0011,0.75,5,4487,1.0
SKAB,999,original,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,999,noisy,Automata,0.01982651796778191,0.0004,0.75,2,4503,2.0
SKAB,999,unseen,Automata,0.0025559105431309905,0.0013,0.75,6,4503,2.0
SKAB,999,original,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,999,noisy,Automata,0.026533996683250415,0.0067,0.75,30,4504,3.0
SKAB,999,unseen,Automata,0.03323442136498516,0.0089,0.75,40,4504,3.0
SKAB,999,original,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,999,noisy,Automata,0.026490066225165563,0.0,1.0,0,4424,4.0
SKAB,999,unseen,Automata,0.03098927294398093,0.0007,0.75,3,4424,4.0
SKAB,999,original,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
SKAB,999,noisy,Automata,0.1558321807284463,0.123,0.75,558,4539,5.0
SKAB,999,unseen,Automata,0.07477678571428571,0.0051,0.75,23,4539,5.0
BATADAL,42,original,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,42,noisy,Automata,0.07547169811320754,0.0024,0.75,2,833,
BATADAL,42,unseen,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,123,original,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,123,noisy,Automata,0.058823529411764705,0.0024,0.75,2,833,
BATADAL,123,unseen,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,2026,original,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,2026,noisy,Automata,0.019417475728155338,0.0012,0.75,1,833,
BATADAL,2026,unseen,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,7,original,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,7,noisy,Automata,0.07692307692307693,0.0024,0.75,2,833,
BATADAL,7,unseen,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,999,original,Automata,0.020202020202020204,0.0012,0.75,1,833,
BATADAL,999,noisy,Automata,0.06060606060606061,0.0012,0.75,1,833,
BATADAL,999,unseen,Automata,0.020202020202020204,0.0012,0.75,1,833,
